iter	Passed	Remaining
151	78528	438108
152	79058	437663
153	79584	437199
154	80091	436628
155	80596	436047
156	81113	435535
157	81631	435024
158	82141	434469
159	82653	433930
160	83177	433450
161	83684	432888
162	84193	432328
163	84708	431808
164	85226	431295
165	85739	430764
166	86253	430235
167	86775	429744
168	87284	429194
169	87801	428676
170	88315	428147
171	88817	427564
172	89319	426977
173	89828	426428
174	90343	425905
175	90862	425401
176	91380	424893
177	91895	424371
178	92415	423872
179	92921	423310
180	93432	422770
181	93941	422219
182	94454	421690
183	94973	421185
184	95481	420635
185	96006	420159
186	96516	419615
187	97026	419073
188	97532	418510
189	98035	417939
190	98544	417393
191	99066	416902
192	99579	416374
193	100090	415840
194	100604	415317
195	101130	414841
196	101632	414267
197	102141	413725
198	102655	413200
199	103166	412664
200	103684	412157
201	104194	411618
202	104700	411066
203	105219	410561
204	105739	410063
205	106264	409582
206	106774	409046
207	107284	408505
208	107801	407994
209	108307	407443
210	108816	406902
211	109334	406392
212	109847	405867
213	110356	405329
214	110872	404812
215	111388	404297
216	111888	403727
217	112402	403204
218	112911	402666
219	113436	402182
220	113941	401632
221	114456	401112
222	114969	400589
223	115477	400045
224	115985	399505
225	116496	398973
226	117017	398477
227	117509	397882
228	118018	397346
229	118532	396827
230	119042	396291
231	119567	395810
232	120068	395246
233	120581	394724
234	121086	394175
235	121593	393634
236	122108	393118
237	122625	392607
238	123133	392069
239	123658	391585
240	124157	391019
241	124662	390472
242	125169	389931
243	125683	389413
244	126192	388878
245	126686	388297
246	127185	387735
247	127697	387211
248	128212	386696
249	128718	386155
250	129222	385608
251	129727	385065
252	130245	384558
253	130769	384071
254	131266	383505
255	131784	382998
256	132292	382463
257	132814	381969
258	133314	381412
259	133816	380863
260	134314	380301
261	134811	379737
262	135313	379185
263	135816	378639
264	136327	378117
265	136833	377577
266	137344	377055
267	137851	376519
268	138349	375960
269	138867	375455
270	139391	374967
271	139906	374454
272	140421	373942
273	140938	373436
274	141448	372910
275	141963	372395
276	142471	371865
277	142980	371337
278	143483	370794
279	144002	370292
280	144517	369779
281	145033	369270
282	145538	368730
283	146042	368192
284	146559	367685
285	147066	367151
286	147575	366624
287	148090	366111
288	148606	365603
289	149113	365070
290	149619	364537
291	150124	363999
292	150622	363446
293	151136	362933
294	151635	362383
295	152148	361866
296	152651	361326
297	153156	360792
298	153680	360301
299	154197	359793
300	154704	359264
301	155205	358720
302	155710	358184
303	156203	357623
304	156715	357105
305	157214	356557
306	157717	356019
307	158225	355492
308	158744	354991
309	159249	354459
310	159766	353951
311	160260	353395
312	160762	352856
313	161272	352335
314	161781	351809
315	162298	351303
316	162804	350774
317	163290	350201
318	163809	349699
319	164326	349193
320	164847	348696
321	165355	348171
322	165859	347638
323	166380	347139
324	166897	346632
325	167409	346117
326	167921	345600
327	168430	345077
328	168929	344533
329	169439	344014
330	169949	343492
331	170444	342942
332	170956	342426
333	171455	341884
334	171976	341387
335	172486	340865
336	173001	340356
337	173508	339831
338	174019	339312
339	174517	338769
340	175023	338242
341	175538	337731
342	176042	337201
343	176555	336687
344	177073	336182
345	177578	335654
346	178079	335118
347	178597	334613
348	179109	334098
349	179629	333597
350	180133	333067
351	180635	332533
352	181152	332027
353	181656	331497
354	182176	330996
355	182669	330446
356	183194	329954
357	183703	329434
358	184212	328914
359	184721	328393
360	185234	327881
361	185735	327346
362	186252	326839
363	186756	326311
364	187266	325792
365	187773	325268
366	188296	324773
367	188808	324258
368	189344	323783
369	189854	323266
370	190364	322746
371	190874	322229
372	191395	321729
373	191896	321195
374	192421	320702
375	192936	320192
376	193440	319663
377	193943	319135
378	194442	318597
379	194943	318065
380	195464	317565
381	195967	317036
382	196478	316519
383	196997	316016
384	197513	315508
385	198014	314976
386	198518	314449
387	199023	313923
388	199536	313411
389	200044	312889
390	200554	312372
391	201073	311868
392	201584	311353
393	202093	310834
394	202597	310307
395	203107	309790
396	203617	309272
397	204132	308763
398	204647	308252
399	205166	307749
400	205676	307232
401	206194	306727
402	206686	306182
403	207189	305655
404	207705	305147
405	208221	304639
406	208743	304139
407	209246	303612
408	209758	303098
409	210249	302554
410	210769	302052
411	211284	301541
412	211786	301013
413	212299	300501
414	212803	299975
415	213306	299449
416	213827	298948
417	214324	298414
418	214847	297915
419	215357	297398
420	215856	296866
421	216371	296356
422	216860	295812
423	217360	295281
424	217869	294764
425	218373	294239
426	218888	293730
427	219396	293212
428	219908	292698
429	220407	292167
430	220912	291645
431	221423	291131
432	221920	290597
433	222423	290072
434	222934	289558
435	223429	289023
436	223932	288499
437	224434	287973
438	224944	287456
439	225460	286949
440	225982	286449
441	226511	285958
442	227029	285451
443	227540	284938
444	228058	284432
445	228568	283917
446	229084	283408
447	229589	282887
448	230091	282361
449	230603	281848
450	231099	281315
451	231621	280815
452	232124	280291
453	232626	279767
454	233141	279257
455	233641	278730
456	234140	278201
457	234645	277680
458	235153	277163
459	235658	276642
460	236159	276117
461	236682	275617
462	237174	275081
463	237696	274580
464	238200	274058
465	238705	273538
466	239219	273027
467	239718	272500
468	240228	271985
469	240745	271479
470	241255	270964
471	241775	270460
472	242265	269923
473	242783	269418
474	243286	268895
475	243794	268378
476	244300	267859
477	244820	267355
478	245329	266840
479	245845	266332
480	246360	265823
481	246874	265313
482	247393	264808
483	247893	264283
484	248401	263766
485	248914	263255
486	249414	262730
487	249944	262237
488	250453	261721
489	250956	261199
490	251461	260679
491	251978	260173
492	252477	259647
493	253001	259147
494	253513	258634
495	254020	258117
496	254524	257597
497	255033	257081
498	255522	256546
499	256032	256032
500	256533	255509
501	257031	254983
502	257560	254488
503	258059	253963
504	258568	253448
505	259068	252924
506	259588	252420
507	260094	251902
508	260602	251386
509	261113	250873
510	261634	250369
511	262150	249862
512	262668	249356
513	263177	248841
514	263685	248325
515	264189	247805
516	264699	247291
517	265195	246764
518	265692	246239
519	266206	245729
520	266727	245225
521	267247	244720
522	267763	244212
523	268267	243693
524	268777	243179
525	269289	242667
526	269783	242139
527	270287	241620
528	270789	241100
529	271309	240595
530	271816	240079
531	272328	239567
532	272822	239039
533	273331	238525
534	273830	238002
535	274345	237493
536	274865	236988
537	275379	236478
538	275895	235969
539	276400	235452
540	276917	234945
541	277425	234429
542	277928	233910
543	278430	233390
544	278923	232863
545	279436	232351
546	279978	231865
547	280483	231347
548	280974	230819
549	281478	230300
550	281994	229792
551	282495	229271
552	283006	228759
553	283508	228240
554	284023	227730
555	284542	227224
556	285050	226709
557	285563	226198
558	286050	225667
559	286556	225151
560	287079	224648
561	287592	224137
562	288112	223632
563	288619	223117
564	289135	222608
565	289630	222084
566	290132	221564
567	290635	221046
568	291157	220543
569	291658	220022
570	292185	219522
571	292695	219010
572	293198	218491
573	293702	217974
574	294216	217464
575	294738	216959
576	295260	216455
577	295764	215939
578	296261	215416
579	296778	214908
580	297296	214401
581	297797	213882
582	298289	213356
583	298799	212843
584	299304	212327
585	299813	211813
586	300314	211294
587	300816	210776
588	301335	210269
589	301861	209767
590	302384	209264
591	302897	208753
592	303403	208238
593	303913	207725
594	304426	207214
595	304937	206702
596	305434	206181
597	305923	205654
598	306438	205144
599	306953	204635
600	307448	204113
601	307956	203599
602	308461	203083
603	308973	202571
604	309489	202063
605	309981	201538
606	310492	201026
607	311000	200513
608	311505	199997
609	312029	199494
610	312541	198982
611	313055	198473
612	313558	197955
613	314070	197445
614	314579	196932
615	315077	196411
616	315610	195913
617	316109	195394
618	316626	194886
619	317143	194378
620	317646	193861
621	318163	193353
622	318680	192845
623	319193	192334
624	319694	191816
625	320220	191313
626	320725	190798
627	321230	190283
628	321742	189771
629	322256	189261
630	322771	188752
631	323261	188228
632	323766	187713
633	324287	187207
634	324787	186688
635	325290	186172
636	325801	185660
637	326309	185147
638	326821	184635
639	327330	184123
640	327840	183611
641	328340	183093
642	328847	182579
643	329348	182062
644	329845	181543
645	330346	181025
646	330869	180520
647	331385	180011
648	331885	179494
649	332399	178984
650	332596	1548583	1045358
597	1551178	1042765
598	1553777	1040175
599	1556369	1037579
600	1558966	1034987
601	1561562	1032394
602	1564153	1029799
603	1566764	1027216
604	1569359	1024622
605	1571967	1022038
606	1574574	1019452
607	1577173	1016862
608	1579777	1014273
609	1582372	1011680
610	1584974	1009091
611	1587575	1006502
612	1590171	1003909
613	1592762	1001313
614	1595360	998721
615	1597954	996127
616	1600555	993537
617	1603159	990949
618	1605739	988347
619	1608339	985756
620	1610922	983155
621	1613521	980564
622	1616126	977976
623	1618711	975377
624	1621299	972779
625	1623886	970181
626	1626479	967586
627	1629074	964993
628	1631665	962397
629	1634248	959796
630	1636843	957203
631	1639425	954602
632	1642015	952006
633	1644610	949412
634	1647203	946817
635	1649801	944226
636	1652391	941629
637	1654976	939030
638	1657566	936434
639	1660160	933840
640	1662761	931250
641	16653885	153379
700	358392	152866
701	358906	152356
702	359421	151846
703	359938	151337
704	360450	150826
705	360963	150316
706	361452	149795
707	361955	149280
708	362477	148774
709	362989	148263
710	363507	147754
711	364023	147245
712	364536	146734
713	365051	146225
714	365577	14656	1704206	889715
657	1706800	887121
658	1709415	884538
659	1712009	881944
660	1714591	879344
661	1717180	876747
662	1719773	874153
663	1722361	871556
664	1724956	868963
665	1727548	866368
666	1730121	863763
667	1732712	861168
668	1735294	858568
669	1737887	855974
670	1740477	853378
671	1743065	850782
672	1745661	848188
673	1748240	845588
674	1750836	842995
675	1753420	840396
676	1756001	837796
677	1758590	835200
678	1761196	832612
679	1763774	830011
680	1766365	827416
681	1768944	824815
682	1771542	822224
683	1774130	819627
684	1776722	817032
685	1779309	814436
686	1781897	811839
687	1784488	809244
688	1787082	806651
689	1789680	804059
690	1792268	801463
691	1794863	798869
692	1797439	796268
693	1800028	793672
694	1802601	791069
695	1805193	788475
696	1807800	785887
697	1810394	783293
698	1812987	780700
699	1815573	778102
700	1818161	775506
701	1820755	772913
702	1823348	770319
703	1825940	767725
704	1828530	765129
705	1831122	762535
706	1833714	759941
707	1836315	757350
708	1838904	754754
709	1841499	752161
710	1844091	749567
711	1846685	746973
712	1849276	744379
713	1851881	741789
714	1854477	739197
715	1857064	736600
716	1859648	734003
717	1862237	731408
718	1864817	728809
719	1867408	726214
720	1870003	723621
721	1872610	721033
722	1875203	718438
723	1877800	715846
724	1880389	713251
725	1882965	710650
726	1885559	708057
727	1888151	705463
728	1890742	702868
729	1893334	700274
730	1895935	697683
731	1898518	695085
732	1901111	692492
733	1903703	689898
734	1906293	687302
735	1908885	684708
736	1911478	682115
737	1914070	679521
738	1916649	676922
739	1919238	674326
740	1921833	671733
741	1924430	669141
742	1927018	666546
743	1929599	663948
744	1932183	661351
745	1934773	658756
746	1937361	656161
747	1939949	653565
748	1942541	650971
749	1945126	648375
750	1947726	645784
751	1950319	643190
752	1952909	640595
753	1955504	638002
754	1958099	635409
755	1960697	632817
756	1963288	630223
757	1965880	627629
758	1968487	625040
759	1971085	622448
760	1973682	619855
761	1976281	617263
762	1978872	614669
763	1981465	612075
764	1984067	609484
765	1986668	606893
766	1989266	604301
767	1991855	601706
768	1994458	599115
769	1997041	596518
770	1999630	593924
771	2002235	591333
772	2004828	588740
773	2007427	586148
774	2010035	583558
775	2012638	580967
776	2015233	578374
777	2017838	575784
778	2020437	573192
779	2023037	570600
780	2025644	568010
781	2028247	565419
782	2030845	562826
783	2033452	560236
784	2036065	557648
785	2038657	555054
786	2041256	552462
787	2043853	549869
788	2046455	547277
789	2049061	544687
790	2051665	542096
791	2054266	539504
792	2056869	536913
793	2059470	534321
794	2062071	531729
795	2064671	529136
796	2067264	526542
797	2069857	523948
798	2072455	521356
799	2075055	518763
800	2077662	516173
801	2080279	513585
802	2082879	510992
803	2085465	508397
804	2088051	505801
805	2090640	503206
806	2093230	500611
807	2095827	498018
808	2098418	495423
809	2101002	492827
810	2103597	490234
811	2106199	487642
812	2108793	485048
813	2111388	482454
814	2113985	479861
815	2116583	477268
816	2119176	474674
817	2121778	472082
818	2124391	469493
819	2126988	466900
820	2129573	464304
821	2132159	461708
822	2134759	459115
823	2137352	456521
824	2139942	453927
825	2142547	451335
826	2145136	448740
827	2147727	446146
828	2150314	443550
829	2152906	440956
830	2155503	438363
831	2158101	435770
832	2160700	433177
833	2163297	430584
834	2165878	427987
835	2168476	425394
836	2171086	422804
837	2173687	420211
838	2176283	417618
839	2178878	415024
840	2181467	412429
841	2184062	409835
842	2186650	407241
843	2189230	404644
844	2191832	402052
845	2194421	399457
846	2197018	396864
847	2199613	394270
848	2202194	391674
849	2204791	389080
850	2207383	386486
851	2209975	383892
852	2212576	381299
853	2215167	378705
854	2217758	376111
855	2220355	373517
856	2222945	370923
857	2225531	368328
858	2228124	365733
859	2230719	363140
860	2233311	360546
861	2235896	357951
862	2238490	355357
863	2241082	352763
864	2243677	350169
865	2246274	347575
866	2248862	344981
867	2251447	342386
868	2254047	339793
869	2256643	337199
870	2259241	334606
871	2261827	332011
872	2264419	329417
873	2267015	326823
874	2269623	324231
875	2272221	321638
876	2274821	319045
877	2277405	316450
878	2279997	313856
879	2282590	311262
880	2285173	308667
881	2287749	306070
882	2290332	303475
883	2292921	300881
884	2295510	298286
885	2298104	295692
886	2300693	293098
887	2303279	290503
888	2305871	287909
889	2308470	285316
890	2311053	282721
891	2313638	280126
892	2316244	277534
893	2318833	274939
894	2321424	272345
895	2324011	269751
896	2326610	267158
897	2329196	264563
898	2331793	261970
899	2334370	259374
900	2336961	256780
901	2339551	254186
902	2342147	251592
903	2344735	248998
904	2347326	246404
905	2349912	243809
906	2352502	241215
907	2355097	238622
908	2357690	236028
909	2360291	233435
910	2362892	230842
911	2365482	228248
912	2368080	225654
913	2370667	223060
914	2373254	220466
915	2375852	217872
916	2378449	215279
917	2381032	212684
918	2383626	210091
919	2386210	207496
920	2388805	204903
