iter	Logloss
0	0.6912802035
1	0.6895797336
2	0.687882026
3	0.6861170967
4	0.6846694409
5	0.6830990747
6	0.6816829998
7	0.6801309598
8	0.6787508294
9	0.6773642239
10	0.6760333055
11	0.6747033321
12	0.6732286329
13	0.6718465569
14	0.6705713362
15	0.6689968147
16	0.6677615506
17	0.6665231717
18	0.6653998248
19	0.6640852379
20	0.6630173591
21	0.6618353442
22	0.6607455782
23	0.6596759892
24	0.6585919556
25	0.6575876767
26	0.6566163515
27	0.6556044759
28	0.654871694
29	0.6538747909
30	0.652983167
31	0.65221708
32	0.6513492178
33	0.650411899
34	0.6495567115
35	0.6486895831
36	0.6479307223
37	0.6471306707
38	0.6462892213
39	0.6455347105
40	0.6446306915
41	0.6438912741
42	0.6432568854
43	0.6426219836
44	0.6417856398
45	0.6411607878
46	0.640535633
47	0.6398965061
48	0.6391182355
49	0.6384442898
50	0.637810558
51	0.6371229132
52	0.6365371033
53	0.6358614293
54	0.6352391822
55	0.634577012
56	0.6339512404
57	0.6333027371
58	0.6327366779
59	0.6321933827
60	0.6315783578
61	0.6310879549
62	0.6306518357
63	0.6301067158
64	0.6295626344
65	0.6290976868
66	0.6284465356
67	0.6279310777
68	0.627417438
69	0.6269472402
70	0.6265911444
71	0.6261396857
72	0.6256534088
73	0.625247782
74	0.62478747
75	0.624316045
76	0.6240072521
77	0.6235368625
78	0.6231191822
79	0.6226859909
80	0.6222388012
81	0.6218708212
82	0.6213758354
83	0.620974477
84	0.6205527182
85	0.6201347044
86	0.6197651791
87	0.6193757183
88	0.619001596
89	0.6185870298
90	0.6182405932
91	0.6178615091
92	0.6174790094
93	0.6171087946
94	0.6167506564
95	0.6164406368
96	0.6160459356
97	0.6156942669
98	0.6153429796
99	0.6150047871
100	0.6146987456
101	0.6143850045
102	0.6140535168
103	0.613726952
104	0.6133937141
105	0.6131231749
106	0.6128478293
107	0.6126117268
108	0.6122457953
109	0.611971173
110	0.6116363258
111	0.6113943404
112	0.6110248494
113	0.610697532
114	0.6103820311
115	0.6100424383
116	0.6096960065
117	0.6094357082
118	0.6091877472
119	0.6089667713
120	0.6087398121
121	0.608463005
122	0.6082210441
123	0.6079221442
124	0.6077437317
125	0.6074066532
126	0.6071978762
127	0.6068912427
128	0.6066432512
129	0.6063724971
130	0.6060408513
131	0.6057986219
132	0.605600099
133	0.6054290723
134	0.6052064782
135	0.6049751018
136	0.6047320692
137	0.6044629236
138	0.6042143873
139	0.6039928707
140	0.6037489043
141	0.6035911357
142	0.6033830513
143	0.6030918932
144	0.6029376967
145	0.6026903206
146	0.6023645028
147	0.6021230518
148	0.6018723644
149	0.6016592535
150	0.6014252565
151	0.6011826296
152	0.6009184038
153	0.6007317352
154	0.6004618094
155	0.6002931064
156	0.6000637521
157	0.5997533198
158	0.5995438757
159	0.5993570896
160	0.5991557867
161	0.5989812616
162	0.5987794064
163	0.5986083232
164	0.598363701
165	0.5981963551
166	0.5979934737
167	0.597750184
168	0.5975311335
169	0.5973107834
170	0.5970972826
171	0.5969239129
172	0.5966839291
173	0.5965456668
174	0.5963345888
175	0.596073112
176	0.5958922297
177	0.5956062355
178	0.5954414967
179	0.5952741155
180	0.5951647365
181	0.5949496361
182	0.594720448
183	0.5945434318
184	0.5943573239
185	0.5941661288
186	0.5940104461
187	0.5938442141
188	0.593654298
189	0.5935046721
190	0.5933633638
191	0.5932098133
192	0.593009256
193	0.5928188584
194	0.5926214048
195	0.5923894637
196	0.5921880448
197	0.5920034437
198	0.5919017079
199	0.5916946636
200	0.5914249192
201	0.591253513
202	0.5910772437
203	0.5908606584
204	0.5906342476
205	0.5904316569
206	0.5902859595
207	0.5900798141
208	0.5898949993
209	0.5897469563
210	0.5896510639
211	0.5894358883
212	0.5892360353
213	0.589028122
214	0.5888140171
215	0.5885817727
216	0.5884990202
217	0.5883352483
218	0.5881550411
219	0.5879273479
220	0.587806107
221	0.5876677634
222	0.5874815487
223	0.5873110929
224	0.5871388427
225	0.5869454943
226	0.5867368228
227	0.5866534162
228	0.5864900178
229	0.5863121098
230	0.5861408772
231	0.5859594873
232	0.5858333875
233	0.5856746369
234	0.5855398348
235	0.5854367813
236	0.5852597096
237	0.5850609868
238	0.584898848
239	0.5847404979
240	0.5846505205
241	0.5845154855
242	0.5843206688
243	0.5841369102
244	0.5840374115
245	0.5839310094
246	0.5838219526
247	0.583681214
248	0.5835029012
249	0.5833240792
250	0.583209154
251	0.5831111378
252	0.5829153238
253	0.5826995797
254	0.582623143
255	0.5824685594
256	0.5823435902
257	0.5821618087
258	0.5820112421
259	0.5818730287
260	0.581800052
261	0.5816779368
262	0.5815889108
263	0.5814695519
264	0.5813374384
265	0.5812302374
266	0.5810571463
267	0.5809249124
268	0.5808444723
269	0.580635238
270	0.5804958579
271	0.5803392703
272	0.5801407928
273	0.5800044513
274	0.5798170277
275	0.579620396
276	0.5794451571
277	0.5792609985
278	0.5790662192
279	0.5788847316
280	0.5786631341
281	0.5785557002
282	0.5784039113
283	0.5782683286
284	0.5781666627
285	0.5780341829
286	0.5779440694
287	0.5778132155
288	0.5776692076
289	0.5775959719
290	0.577477728
291	0.5774351888
292	0.5773624414
293	0.5771404354
294	0.5770631569
295	0.5769276107
296	0.5768833303
297	0.576750295
298	0.5765115402
299	0.5763735242
300	0.5762558765
301	0.5761712033
302	0.5760649174
303	0.5760308183
304	0.575909106
305	0.57586817
306	0.5757676249
307	0.5756047776
308	0.5754430833
309	0.5752910325
310	0.5750942816
311	0.5750343289
312	0.5749519399
313	0.5747995469
314	0.5746791479
315	0.574474828
316	0.5743421992
317	0.5743149301
318	0.5741705145
319	0.5739943814
320	0.5738003451
321	0.5736725008
322	0.5735536057
323	0.5733784945
324	0.5732073303
325	0.5730344142
326	0.5728793977
327	0.5727882795
328	0.5727249061
329	0.5726175652
330	0.572501744
331	0.5724318999
332	0.5722777775
333	0.5721825522
334	0.5719882976
335	0.5718150516
336	0.571675332
337	0.5715765085
338	0.5714610751
339	0.571429034
340	0.5713440943
341	0.5711716556
342	0.5710433173
343	0.570924318
344	0.5708093257
345	0.5707109874
346	0.5706083819
347	0.5704538786
348	0.5702725393
349	0.5701383345
350	0.5700846579
351	0.5700043854
352	0.5698408385
353	0.5697107883
354	0.5696045761
355	0.5695800755
356	0.5693890289
357	0.5692627285
358	0.5691230697
359	0.5689504224
360	0.5687903302
361	0.5686757157
362	0.5684660842
363	0.5683426789
364	0.5681999803
365	0.5680710616
366	0.567896105
367	0.5677470778
368	0.5675252385
369	0.5674001328
370	0.5673080763
371	0.567184554
372	0.5670613203
373	0.5669665772
374	0.5668063691
375	0.5666486037
376	0.5665328486
377	0.5664237228
378	0.5663486354
379	0.5662949205
380	0.5661534335
381	0.5660519072
382	0.5659084904
383	0.5657607164
384	0.5656326301
385	0.565582801
386	0.5654570952
387	0.5653699454
388	0.5651771406
389	0.565082408
390	0.5649129922
391	0.5647514831
392	0.5646885991
393	0.5645876557
394	0.5644654894
395	0.5643371107
396	0.5642161326
397	0.5641139297
398	0.5640078332
399	0.5638628452
400	0.5637116434
401	0.5635789487
402	0.5635134531
403	0.5634104278
404	0.5633309897
405	0.5631896176
406	0.5630408527
407	0.5629475946
408	0.5628020722
409	0.5627570582
410	0.5625604738
411	0.562486119
412	0.5623816477
413	0.562265989
414	0.5622419479
415	0.5621409459
416	0.5619578094
417	0.5619262273
418	0.5617902364
419	0.5616847413
420	0.5616342928
421	0.5615039212
422	0.5614657679
423	0.5613601931
424	0.5612751173
425	0.5611877369
426	0.5610627411
427	0.560966032
428	0.5607753799
429	0.560709942
430	0.560574442
431	0.5604651426
432	0.5603529573
433	0.5602976673
434	0.5601734789
435	0.5600906904
436	0.560012245
437	0.5598961242
438	0.5597817265
439	0.5596425626
440	0.5595018524
441	0.5593067255
442	0.5591308164
443	0.5589506336
444	0.5588036652
445	0.558693785
446	0.5585376289
447	0.5584686788
448	0.5583577456
449	0.5582710219
450	0.5581825548
451	0.5580723562
452	0.5579689509
453	0.5579046946
454	0.5577289694
455	0.5576013945
456	0.557485883
457	0.5573824735
458	0.5572953028
459	0.5572092954
460	0.5571334058
461	0.5570184169
462	0.5569638488
463	0.5567739228
464	0.5566826634
465	0.5565926531
466	0.556495612
467	0.5564788754
468	0.5563204648
469	0.5562293294
470	0.5561376157
471	0.5560038671
472	0.5559607508
473	0.5558494194
474	0.5557634725
475	0.5556709294
476	0.5556451892
477	0.5554881413
478	0.555364409
479	0.5552049024
480	0.5550880872
481	0.5549674684
482	0.5548052863
483	0.5547162979
484	0.5545981533
485	0.5544865215
486	0.5543591602
487	0.554160262
488	0.5539944815
489	0.5538750832
490	0.5537746322
491	0.5536679483
492	0.5535941196
493	0.553425431
494	0.553262457
495	0.5532046058
496	0.5530927725
497	0.5529361054
498	0.5529082873
499	0.5527726898
500	0.5527212685
501	0.5526428917
502	0.5524545532
503	0.5523953537
504	0.5522949909
505	0.5521875854
506	0.5520027437
507	0.5518943138
508	0.5517747052
509	0.5516356583
510	0.5515096026
511	0.5513309991
512	0.5512510872
513	0.551178131
514	0.5510841682
515	0.5509841419
516	0.5508525163
517	0.5508176757
518	0.5507448588
519	0.5506431837
520	0.5505026722
521	0.5503876457
522	0.5503030265
523	0.5502370499
524	0.5501235996
525	0.5499481145
526	0.5499101198
527	0.5497583191
528	0.5496468794
529	0.5494707725
530	0.5493957656
531	0.5492839852
532	0.5492284991
533	0.549131116
534	0.5490834884
535	0.5489709982
536	0.5488483352
537	0.5487223661
538	0.5485663421
539	0.5484921776
540	0.5483892561
541	0.5482602239
